"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOT-23-5";1;"SE5218ALG-LF";;;
2;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;"C3,C1";"0603C";2;"1u";;;
4;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
5;"K3,K1";"qwiic-connector";2;"qwiic-SMD";;;
6;"R4,R2,R3,R5,R1";"0603R";5;"10k";;;
7;"U2";"SOT-363";1;"NMOS-DUAL";;;
8;"C5,C4";"0603C";2;"2u2";;;
9;"C2";"1210C_tantal";1;"68u";;;
10;"U1";"APDS-9960";1;"APDS-9960";;;
11;"JP4";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
12;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
13;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
14;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
15;"K4";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
